statut;commune;adresse;code_postal;cedex;telephone;fax;courriel;code_insee_geo;code_postal_geo;code_etab;nom;adresse1;adresse2;geo_code
Privé;LESNEVEN;1 Rue des Récollets  B.P. 90;29260;;02.98.83.09.44;02 98 83 30 74;grp29.st-francois.lesneven@enseignement-catholique.bzh;29124;29260;1875F;Saint François-Notre Dame;1 Rue des Récollets;B.P. 90;48.570836, -4.324554
Privé;MORLAIX;Rue Saint Augustin B.P. 153;29204;;02.98.88.01.46;02 98 88 29 00;col29.st-augustin.morlaix@enseignement-catholique.bzh;29151;29600;1227B;Saint-Augustin;Rue Saint Augustin;B.P. 153;48.574378, -3.838239
Public;PLABENNEC;1 rue Joseph Bleunven   BP 25;29860;;02.98.37.69.70;02 98 37 69 61;ce.0292290g@ac-rennes.fr;29160;29860;2290G;Nelson Mandela;1 rue Joseph Bleunven;BP 25;48.496613, -4.434618
Public;PLOUDALMEZEAU;8 rue du Collège;29830;;02.98.48.62.04;02 98 48 64 98;ce.0290065n@ac-rennes.fr;29178;29830;0065N;Edouard Quéau;8 rue du Collège;;48.55405, -4.694385
Public;PLOUNEOUR-MENEZ;Rue de la Libération;29410;;02.98.78.01.12;02 98 78 05 11;ce.0290058f@ac-rennes.fr;29202;29410;0058F;Les Monts d'Arrée;Rue de la Libération;;48.438505, -3.89292
Privé;PONT-CROIX;39 rue de la liberté;29790;;02.98.70.42.25;02 98 70 50 18;col29.nd-roscudon.pt-croix@enseignement-catholique.bzh;29218;29790;0302W;Notre dame de Roscudon;39 rue de la liberté;;48.042382, -4.493059
Public;PONT-L'ABBE;17 rue du Séquer  BP 144;29120;;02.98.87.00.36;02 98 87 38 41;ce.0290064m@ac-rennes.fr;29220;29120;0064M;René Laennec;17 rue du Séquer;BP 144;47.858756, -4.235328
Privé;POULDREUZIC;13 Rue de Plozévet;29710;;02.98.54.40.33;02 98 54 31 04;col29.nd-penhors.pouldreuzic@enseignement-catholique.bzh;29225;29710;0304Y;Notre Dame de Penhors;13 Rue de Plozévet;;47.955776, -4.361001
Privé;QUIMPER;6 rue de Salonique;29336;;02.98.55.28.56;02 98 53 81 16;col29.lasabliere.quimper@enseignement-catholique.bzh;29232;29000;0306A;La Sablière;6 rue de Salonique;;47.99591, -4.111464
Public;QUIMPER;Place de la Tourbie  BP 1754;29107;CEDEX;02.98.64.28.82;02 98.64.28.80;ce.0290068s@ac-rennes.fr;29232;29000;0068S;La Tour d'Auvergne;Place de la Tourbie;BP 1754;47.999126, -4.103272
Privé;QUIMPER;20 Place de la Tourbie;29196;;02.98.95.04.86;02 98 95 06 24;grp29.likes.quimper@enseignement-catholique.bzh;29232;29000;1880L;Le Likès Saint-Yves;20 Place de la Tourbie;;47.999534, -4.102561
Public;QUIMPER;2 rue de Kerjestin BP 317;29191;CEDEX;02.98.64.11.11;02 98 64 11 22;ce.0291087z@ac-rennes.fr;29232;29000;1087Z;Max Jacob;2 rue de Kerjestin;BP 317;47.986646, -4.13043
Privé;QUIMPER;10 Allée de Kerdaniel;29000;;02.98.95.00.83;02 98 64 22 30;col29.st-j-baptiste.quimper@enseignement-catholique.bzh;29232;29000;1879K;Saint Jean-Baptiste - Kérivoal;10 Allée de Kerdaniel;;48.009973, -4.111226
Privé;SAINT-POL-DE-LEON;51 rue Verderel B.P. 91;29250;;02.98.69.02.23;02 98 29 10 52;col29.ste-ursule.st-pol@enseignement-catholique.bzh;29259;29250;1883P;Sainte Ursule;51 rue Verderel;B.P. 91;48.68199, -3.983852
Public;SCAËR;16 rue Paul Pourhiet;29390;;02.98.59.41.66;02 98.59.46.80;ce.0290088n@ac-rennes.fr;29274;29390;0088N;Léo Ferré;16 rue Paul Pourhiet;;48.023664, -3.702762
Public;SIZUN;Route du Pont de Bodivy;29450;;02.98.68.81.64;02 98 68 87 49;ce.0290089p@ac-rennes.fr;29277;29450;0089P;Val d'Elorn;Route du Pont de Bodivy;;48.404407, -4.081394
Public;BREST;8 rue Jules Lesven  BP 32049;29213;;02.98.80.43.93;02 98 46 71 28;ce.0291661y@ac-rennes.fr;29019;29200;1661Y;Anna Marly;8 rue Jules Lesven;BP 32049;48.402643, -4.473752
Privé;BREST;25 rue Paul Bert CS 63816;29231;;02.98.45.17.28;02.98.05.27.66;;29019;29200;0236Z;Kerbonne;25 rue Paul Bert;CS 63816;48.380186, -4.514023
Privé;BREST;2 rue Mirabeau CS 62925;29222;;02.98 47 81 00;02 98 47 81 35;grp29.croix-rouge.brest@enseignement-catholique.bzh;29019;29200;1869Z;La Croix Rouge;2 rue Mirabeau;CS 62925;48.407731, -4.488669
Public;BREST;Place de Roscanvel;29200;;02.98.45.16.91;02 98.05.69.68;ce.0291824a@ac-rennes.fr;29019;29200;1824A;Les Quatre Moulins;Place de Roscanvel;;48.385812, -4.515772
Public;BREST;40 rue de Bruxelles;29200;CEDEX;02.98.45.02.08;02 98.45.36.08;ce.0290131k@ac-rennes.fr;29019;29200;0131K;Saint-Pol Roux;40 rue de Bruxelles;;48.376163, -4.528417
Privé;CHATEAUNEUF-DU-FAOU;36 rue Paul Sérusier;29520;;02.98.81.74.61;02 98 81 80 64;col29.nd-portes.chateauneuf@enseignement-catholique.bzh;29027;29520;0252S;Notre Dame des Portes;36 rue Paul Sérusier;;48.188172, -3.808955
Public;CONCARNEAU;1 cours Charlemagne BP 235;29182;CEDEX;02.98.97.15.06;02 98 60 55 51;ce.0290031b@ac-rennes.fr;29039;29900;0031B;Le Porzou;1 cours Charlemagne;BP 235;47.86364, -3.903345
Privé;CROZON;9 rue du chanoine Grall;29160;;02.98.27.07.84;02 98 26 23 78;col29.ste-j-arc.crozon@enseignement-catholique.bzh;29042;29160;0256W;Sainte Jeanne d'Arc;9 rue du chanoine Grall;;48.245639, -4.488621
Privé;DOUARNENEZ;16 Rue Lamennais B.P. 138;29171;;02.98.92.01.27;02 98 92 80 90;col29.st-blaise.douarnenez@enseignement-catholique.bzh;29046;29100;0260A;Saint-Blaise;16 Rue Lamennais;B.P. 138;48.090616, -4.327223
Privé;FOUESNANT;40 Descente du Cap-Coz;29170;;02.98.56.02.93;02 98 56 53 49;col29.st-joseph.fouesnant@enseignement-catholique.bzh;29058;29170;0262C;Saint-Joseph;40 Descente du Cap-Coz;;47.894266, -4.005789
Privé;GUILERS;Kermengleuz    B.P. 75;29820;;02.98.07.63.59;02 98 07 46 14;col29.ste-marie.guilers@enseignement-catholique.bzh;29069;29820;1713E;Sainte Marie;Kermengleuz;B.P. 75;48.423707, -4.566739
Public;HUELGOAT;1 rue Jean Jaurès;29690;;02.98.99.71.43;02 98 99 79 29;ce.0290148d@ac-rennes.fr;29081;29690;0148D;Jean Jaurès;1 rue Jean Jaurès;;48.360116, -3.743548
Public;LANDIVISIAU;17 rue Général Weygand  BP 145;29406;CEDEX;02.98.68.03.23;02 98.68.05.05;ce.0290153j@ac-rennes.fr;29105;29400;0153J;Kerzourat;17 rue Général Weygand;BP 145;48.514414, -4.064386
Public;LANMEUR;7 rue du 19 mars 1962;29620;;02.98.67.50.43;02 98.78.82.29;ce.0290047u@ac-rennes.fr;29113;29620;0047U;Aux Quatre Vents;7 rue du 19 mars 1962;;48.642738, -3.716986
Public;LANNILIS;2 rue Victor Hugo;29870;;02.98.04.01.58;02 98 04 47 69;ce.0290048v@ac-rennes.fr;29117;29870;0048V;Pays des Abers;2 rue Victor Hugo;;48.573575, -4.513918
Privé;LANNILIS;11 rue de la Salle B.P 7;29870;;02.98.04.00.37;02 98 04 09 50;col29.st-antoine.lannilis@enseignement-catholique.bzh;29117;29870;1639Z;Saint-Antoine;11 rue de la Salle;B.P 7;48.572326, -4.519435
Privé;LE CONQUET;10 rue le Gonidec   B.P. 9;29217;;02.98.89.01.72;02 98 89 04 88;col29.dom-michel.conquet@enseignement-catholique.bzh;29040;29217;0106H;Dom Michel Le Nobletz;10 rue le Gonidec;B.P. 9;48.358427, -4.773349
Public;LESNEVEN;12 rue Saint Exupéry  BP 55;29260;;02.98.83.00.45;02 98 83 37 74;ce.0290049w@ac-rennes.fr;29124;29260;0049W;Antoine de Saint-Exupéry;12 rue Saint Exupéry;BP 55;48.573807, -4.329673
Public;MOELAN SUR MER;Parc Ar C'Hoat;29350;;02.98.39.60.46;02 98 39 68 55;ce.0291717j@ac-rennes.fr;29150;29350;1717J;Parc ar C'hoat - Yves Cotty;Parc Ar C'Hoat;;47.816163, -3.628066
Public;MORLAIX;6 place du Château  BP 97175;29671;CEDEX;02.98.88.02.03;02 98.88.11.15;ce.0291085x@ac-rennes.fr;29151;29600;1085X;Le Château;6 place du Château;BP 97175;48.573956, -3.826309
Public;OUESSANT;bourg;;;;;;29155;29242;;Annexe Les Iles-du-Ponant;bourg;;48.456809, -5.095606
Privé;PLABENNEC;2 rue des Ecoles B.P. 20;29860;;02.98.40.41.17;02 98 40 80 67;col29.st-joseph.plabennec@enseignement-catholique.bzh;29160;29860;0286D;Saint Joseph;2 rue des Ecoles;B.P. 20;48.505488, -4.428917
Public;PLOUESCAT;2 rue de la République  BP 4;29430;;02.98.69.62.37;02 98.61.93.94;ce.0290056d@ac-rennes.fr;29185;29430;0056D;De la Baie du Kernic, Louis & Marie Fichez;2 rue de la République;BP 4;48.654205, -4.17464
Public;PLOUGASNOU;27 rue Pierre Brossolette;29630;;02.98.67.30.17;02 98.67.83.15;ce.0290057e@ac-rennes.fr;29188;29630;0057E;François Charles;27 rue Pierre Brossolette;;48.694337, -3.793615
Public;PLOUHINEC;Rue Per Jakez Helias;29780;;02.98.75.00.40;02 98 75 00 49;ce.0290330b@ac-rennes.fr;29197;29780;0330B;Du Bois de Locquéran;Rue Per Jakez Helias;;48.025832, -4.530439
Public;PLOUZANE;Avenue Jacques Prévert BP 25;29280;;02.98.45.89.30;02 98 45 07 36;ce.0291753y@ac-rennes.fr;29212;29280;1753Y;Victoire Daubié;Avenue Jacques Prévert;BP 25;48.384035, -4.59521
Privé;PONT-AVEN;Parc-Moor    B.P. 29;29930;;02.98.06.00.66;02 98 06 12 27;col29.abbes-tanguy.pt-aven@enseignement-catholique.bzh;29217;29930;0301V;Des Abbés Tanguy;Parc-Moor;B.P. 29;47.8521, -3.744149
Public;PONT-AVEN;Route de Rosporden;29930;;02.98.06.10.44;02 98 06 04 33;ce.0290060h@ac-rennes.fr;29217;29930;0060H;Penanroz;Route de Rosporden;;47.851796, -3.783425
Public;QUIMPER;8 rue Bourg Les Bourgs  BP 337;29191;CEDEX;02.98.55.39.27;02 98.53.72.26;ce.0291592y@ac-rennes.fr;29232;29000;1592Y;Auguste Brizeux;8 rue Bourg Les Bourgs;BP 337;47.992249, -4.112658
Privé;QUIMPER;75 Avenue Kergoat-ar-Lez;29196;;02.98.64.44.20;02 98 64 44 29;col29.ste-therese.quimper@enseignement-catholique.bzh;29232;29000;1878J;Sainte Thérèse;75 Avenue Kergoat-ar-Lez;;47.99127, -4.090024
Public;QUIMPERLE;1 avenue Jules Ferry;29300;;02.98.96.02.54;02 98 96 09 75;ce.0290107j@ac-rennes.fr;29233;29300;0107J;Jules Ferry;1 avenue Jules Ferry;;47.869763, -3.547745
Privé;QUIMPERLE;2 place Barzaz Breizh B.P. 246;29394;;02.98.96.01.14;02 98 96 38 14;col29.ste-croix.quimperle@enseignement-catholique.bzh;29233;29300;0307B;Sainte Croix;2 place Barzaz Breizh;B.P. 246;47.87407, -3.546387
Public;QUIMPERLE;2 rue de Kerjouanneau BP 142;29391;CEDEX;02.98.96.10.45;02 98.39.01.67;ce.0291635v@ac-rennes.fr;29233;29300;1635V;Théodore Hersart de la Villemarqué;2 rue de Kerjouanneau;BP 142;47.866868, -3.558897
Public;SPEZET;rue des Ecoles;;;;;;29278;29540;;Annexe de Chateauneuf-du-Faou;rue des Ecoles;;48.193998, -3.715008
Privé;BREST;4 rue du Rempart BP 60417;29231;;02.98.45.17.70;02 98 05 28 11;grp29.rd-javouhey.brest@enseignement-catholique.bzh;29019;29200;0236Z;Anne-Marie Javouhey (St Sauveur);4 rue du Rempart;BP 60417;48.382872, -4.502267
Privé;BREST;32 rue de Quimper;29223;;02.98.02.12.54;02 98 02 82 90;grp29.estran.brest@enseignement-catholique.bzh;29019;29200;1867X;Estran - Charles De Foucauld;32 rue de Quimper;;48.401991, -4.459234
Public;BREST;1 Rue Du Guesclin BP 91315;29200;CEDEX 1;02.98.46.16.88;02 98.46.61.61;ce.0290010d@ac-rennes.fr;29019;29200;0010D;Harteloire;1 Rue Du Guesclin;BP 91315;48.392918, -4.490488
Public;BREST;2 rue Fontaine Margot  BP 93106;29287;CEDEX 3;02.98.45.19.88;02 98.05.26.82;ce.0291089b@ac-rennes.fr;29019;29200;1089B;La Fontaine Margot - Keranroux;2 rue Fontaine Margot;BP 93106;48.383298, -4.540197
Public;BREST;71 rue de Kermaria BP 32227;29200;CEDEX 2;02.98.03.34.40;02 98 03 19 03;ce.0290100b@ac-rennes.fr;29019;29200;0100B;Penn ar C'hleuz;71 rue de Kermaria;BP 32227;48.416988, -4.48335
Privé;BREST;5 bis rue Auguste Comte;29200;;02.98.45.01.38;02 98 05 35 07;col29.st-vincent.brest@enseignement-catholique.bzh;29019;29200;0243G;Saint-Vincent;5 bis rue Auguste Comte;;48.378237, -4.536459
Privé;BRIEC;21 rue de la Résistance;29510;;02.98.57.90.49;02 98 57 30 50;col29.st-pierre.briec@enseignement-catholique.bzh;29020;29510;0244H;Saint-Pierre;21 rue de la Résistance;;48.102444, -3.994561
Public;CARANTEC;8 rue des Trois Frères Tanguy;29660;;02.98.67.02.38;02 98 67 90 27;ce.0290021r@ac-rennes.fr;29023;29660;0021R;Les Deux Baies;8 rue des Trois Frères Tanguy;;48.662179, -3.916179
Privé;CARHAIX-PLOUGUER;1 rue Cazuguel   B.P. 120;29833;;02.98.93.00.07;02 98 99 18 13;grp29.st-tremeur.carhaix@enseignement-catholique.bzh;29024;29270;0247L;Saint Trémeur;1 rue Cazuguel;B.P. 120;48.274242, -3.575712
Privé;CLEDER;33 rue de Plouescat;29233;;02.98.69.41.70;02 98 69 49 55;col29.nd-esperance.cleder@enseignement-catholique.bzh;29030;29233;0253T;Notre Dame d'Espérance;33 rue de Plouescat;;48.663251, -4.109927
Privé;CONCARNEAU;61 Rue Bayard B.P. 437;29184;;02.98.97.03.13;02 98 97 06 94;grp29.st-joseph.concarneau@enseignement-catholique.bzh;29039;29900;1873D;Saint-Joseph;61 Rue Bayard;B.P. 437;47.874049, -3.921463
Public;GUERLESQUIN;Rue Even Charruel;29650;;02.98.72.83.96;02 98 72 85 07;ce.0290039k@ac-rennes.fr;29067;29650;0039K;Roz-Avel;Rue Even Charruel;;48.515993, -3.594294
Public;GUIPAVAS;Rue Anne de Bretagne  BP 10177;29803;BREST CEDEX 9;02.98.84.81.81;02 98.84.80.38;ce.0291968g@ac-rennes.fr;29075;29490;1968G;Le Vizac;Rue Anne de Bretagne;BP 10177;48.43528, -4.404512
Privé;GUIPAVAS;41 rue Amiral Guépratte   B.P. 7;29490;;02.98.84.71.98;02 98 84 73 17;col29.st-charles.guipavas@enseignement-catholique.bzh;29075;29490;1655S;Saint-Charles;41 rue Amiral Guépratte;B.P. 7;48.434398, -4.397851
Public;LANDERNEAU;Mescoat BP 90304;29800;;02.98.85.33.24;02 98 21 41 34;ce.0290045s@ac-rennes.fr;29103;29800;0045S;Mescoat;Mescoat;BP 90304;48.458367, -4.268613
Privé;LE GUILVINEC;Rue Pierre Le Goff    B.P. 74;29730;;02.98.59.12.58;02 98 58 99 16;col29.st-joseph.guilvinec@enseignement-catholique.bzh;29072;29730;0674A;Saint-Joseph;Rue Pierre Le Goff;B.P. 74;47.801063, -4.287911
Public;LE RELECQ-KERHUON;Rue Jean Zay;29480;;02.98.28.04.49;02 98 28 61 70;ce.0290151g@ac-rennes.fr;29235;29480;0151G;Camille Vallaux;Rue Jean Zay;;48.401758, -4.397902
Privé;LE RELECQ-KERHUON;17 rue Danton B.P. 53;29480;;02.98.28.14.75;02 98 28 04 39;col29.st-jean.relecq@enseignement-catholique.bzh;29235;29480;0308C;Saint Jean de la Croix;17 rue Danton;B.P. 53;48.407925, -4.39933
Public;MORLAIX;18 rue Paul Sérusier;29600;;02.98.88.48.65;02 98.62.02.56;ce.0291104t@ac-rennes.fr;29151;29600;1104T;Pierre Mendès-France;18 rue Paul Sérusier;;48.583709, -3.819922
Privé;MORLAIX;5 place Daumesnil;29291;;02.98.88.01.07;02 98 88 33 62;col29.st-joseph.morlaix@enseignement-catholique.bzh;29151;29600;0163V;Saint-Joseph;5 place Daumesnil;;48.572888, -3.823741
Public;PLEYBEN;Place Pierre Cloarec;29190;;02.98.26.62.78;02 98 26 68 07;ce.0290053a@ac-rennes.fr;29162;29190;0053A;Louis Hémon;Place Pierre Cloarec;;48.229474, -3.970483
Privé;PLEYBEN;21 rue de Carhaix B.P. 24;29190;;02.98.26.75.50;02 98 26 75 59;col29.st-germain.pleyben@enseignement-catholique.bzh;29162;29190;0288F;Saint-Germain;21 rue de Carhaix;B.P. 24;48.226708, -3.967527
Privé;PLOUDALMEZEAU;2 rue de l'Arvor;29830;;02.98.48.10.36;02 98 48 19 85;col29.st-joseph.ploudalmezeau@enseignement-catholique.bzh;29178;29830;1638Y;Saint-Joseph;2 rue de l'Arvor;;48.542449, -4.661448
Privé;PLOUESCAT;9 rue de Verdun;29430;;02.98.69.61.80;02 98 61 91 44;col29.st-joseph.plouescat@enseignement-catholique.bzh;29185;29430;0293L;Saint-Joseph;9 rue de Verdun;;48.655787, -4.172633
Public;PLOUGASTEL-DAOULAS;Rue de la Fontaine Blanche BP 54;29470;;02.98.40.60.89;02 98 40 08 08;ce.0291928n@ac-rennes.fr;29189;29470;1928N;De la Fontaine Blanche;Rue de la Fontaine Blanche;BP 54;48.372097, -4.36649
Privé;PLOUGASTEL-DAOULAS;9 rue Jean Corre   B.P. 11;29470;;02.98.40.36.12;02 98 40 37 65;col29.ste-anne.plougastel@enseignement-catholique.bzh;29189;29470;0297R;Sainte-Anne;9 rue Jean Corre;B.P. 11;48.37306, -4.371839
Privé;PLOUZANE;1 rue Saint-Sané;29280;;02.98.48.41.06;02 98 48 93 18;col29.st-michel.plouzane@enseignement-catholique.bzh;29212;29280;1929P;Saint-Michel;1 rue Saint-Sané;;48.382401, -4.620054
Public;PLOUZANE;Rue des Myosotis   BP 29;29280;;02.98.49.09.65;02 98.45.94.55;ce.0291929p@ac-rennes.fr;29212;29280;1656T;De Kerallan;Rue des Myosotis;BP 29;48.373773, -4.586411
Public;PLOZEVET;Route de Pont L'Abbé;29710;;02.98.91.31.68;02 98.91.33.97;ce.0290331c@ac-rennes.fr;29215;29710;0331C;Henri Le Moal;Route de Pont L'Abbé;;47.985253, -4.412167
Public;PONT-DE-BUIS-LES-QUIMERC'H;12 rue des Ecoles;29590;;02.98.73.05.11;02 98 27 45 63;ce.0290093u@ac-rennes.fr;29302;29590;0093U;François Collobert;12 rue des Ecoles;;48.247497, -4.130683
Privé;PONT-L'ABBE;24 bis Rue Jean Lautrédou B.P. 68;29120;;02.98.66.08.44;02 98 66 00 89;grp29.st-gabriel.pt-abbe@enseignement-catholique.bzh;29220;29120;1877H;Saint-Gabriel;24 bis Rue Jean Lautrédou;B.P. 68;47.863186, -4.217148
Privé;QUIMPER;5 rue de Vendée;29000;;02.98.95.57.24;02 98 95 71 51;skolaj.jakez.riou@diwan.bzh;29232;29000;2204N;Diwan Jakes Riou;5 rue de Vendée;;47.988606, -4.124477
Public;QUIMPER;Impasse Gauguin;29107;CEDEX;02.98.52.32.40;02 98 52 32 42;ce.0290320r@ac-rennes.fr;29232;29000;0320R;La Tourelle;Impasse Gauguin;;47.989558, -4.097703
Privé;QUIMPERLE;154 rue de Pont-Aven;29300;;02.98.96.02.37;02 98 96 41 15;grp29.kerbertrand.quimperle@enseignement-catholique.bzh;29233;29300;1881M;Notre dame de Kerbertrand;154 rue de Pont-Aven;;47.871818, -3.56106
Public;ROSPORDEN;Route de Coray BP 43;29140;;02.98.66.95.70;02 98 66 95 75;ce.0291634u@ac-rennes.fr;29241;29140;1634U;Germain Pensivy;Route de Coray;BP 43;47.965296, -3.8295
Privé;ROSPORDEN;1 Rue Laënnec B.P. 15;29140;;02.98.59.21.51;02 98 59 97 62;col29.st-michel.rosporden@enseignement-catholique.bzh;29241;29140;0310E;Saint-Michel;1 Rue Laënnec;B.P. 15;47.957641, -3.832504
Public;SAINT-MARTIN-DES-CHAMPS;12 rue Jules Ferry BP 97157;29671;CEDEX;02.98.88.08.33;02 98.63.80.14;ce.0290083h@ac-rennes.fr;29254;29600;0083H;François Tanguy Prigent;12 rue Jules Ferry;BP 97157;48.576485, -3.845701
Public;SAINT-POL-DE-LEON;58 rue des Carmes;29250;;02.98.69.14.43;02 98.29.09.77;ce.0290333e@ac-rennes.fr;29259;29250;0333E;Jacques Prévert;58 rue des Carmes;;48.682632, -3.993024
Privé;SAINT-RENAN;2 Voie Romaine BP 13;29290;;02.98.84.21.17;02 98 32 42 82;col29.st-stanislas.st-renan@enseignement-catholique.bzh;29260;29290;0314J;Saint Stanislas;2 Voie Romaine;BP 13;48.429925, -4.626998
Public;SAINT-RENAN;23 route de Plouzané;29290;;02.98.84.23.11;02 98 84 18 93;ce.0290086l@ac-rennes.fr;29260;29290;0086L;Simone Veil;23 route de Plouzané;;48.423783, -4.627536
Privé;SAINT-THEGONNEC;6 rue des Ecoles;29410;;02.98.79.41.43;02 98 79 66 10;col29.ste-marie.st-thegonnec@enseignement-catholique.bzh;29266;29410;0316L;Sainte Marie;6 rue des Ecoles;;48.518042, -3.943186
